asset,asset_class,slot,indicator_id,indicator_type,horizon,ic_or_spread,ic_ir,n_obs,p_value,survives_fdr,low_confidence,note
HYG,credit,Volatility,VO-ATRRATIO-14,continuous,5,0.10441992263861839,0.4495276352305428,4818,0.00015229531094827106,True,False,
HYG,credit,Volatility,VO-ATRRATIO-14,continuous,10,0.14348610396358744,0.3117984169277837,4813,0.00013588775210761453,True,False,
HYG,credit,Volatility,VO-ATRRATIO-14,continuous,20,0.1875145140465032,0.21475754512959885,4803,0.00026104540466148775,True,False,
HYG,credit,Volatility,VO-BBB-20-2,continuous,1,0.04229987545967347,0.17986022422001907,4816,0.005274095826158676,True,False,
HYG,credit,Volatility,VO-BBB-20-2,continuous,5,0.08622442033660829,0.09776114777830829,4812,0.001485355877215832,True,False,
HYG,credit,Volatility,VO-BBB-20-2,continuous,10,0.10434072250815787,0.043631533011211567,4807,0.0044001819921366085,True,False,
HYG,credit,Volatility,VO-BBB-20-2,continuous,20,0.13794538445031598,0.02764612803695242,4797,0.004052027924183219,True,False,
HYG,credit,Volatility,VO-BBP-20-2,continuous,1,0.01133742803237576,-0.399527693382689,4816,0.44819136574741325,False,False,
HYG,credit,Volatility,VO-BBP-20-2,continuous,5,-0.00615516344769284,-0.29859568707429723,4812,0.805974755559484,False,False,
HYG,credit,Volatility,VO-BBP-20-2,continuous,10,-0.025049032523983154,-0.28611637303269777,4807,0.4223863177506978,False,False,
HYG,credit,Volatility,VO-BBP-20-2,continuous,20,-0.07227709964768286,-0.31217480870253633,4797,0.06278447768802772,False,False,
HYG,credit,Volatility,VO-DCW-20,continuous,1,0.045097533136634775,0.23346186795906126,4816,0.0029394588837898345,True,False,
HYG,credit,Volatility,VO-DCW-20,continuous,5,0.08543827531312233,0.11798092484779403,4812,0.0016871988755477727,True,False,
HYG,credit,Volatility,VO-DCW-20,continuous,10,0.10381238539692549,0.05504604957868613,4807,0.005045239695676182,True,False,
HYG,credit,Volatility,VO-DCW-20,continuous,20,0.13520475368088614,0.044247311490515265,4797,0.006123439747090197,True,False,
HYG,credit,Volatility,VO-KCW-20,continuous,1,0.05180436753633208,0.7499538774668905,4815,0.0006172249805628243,True,False,
HYG,credit,Volatility,VO-KCW-20,continuous,5,0.10477085705621185,0.4279429813029713,4811,0.00013976446035206068,True,False,
HYG,credit,Volatility,VO-KCW-20,continuous,10,0.14250125707815414,0.2952386023065267,4806,0.00014668068128761977,True,False,
HYG,credit,Volatility,VO-KCW-20,continuous,20,0.1845976621527599,0.20857316073289026,4796,0.0003010354049873754,True,False,
HYG,credit,Volatility,VO-NATR-14,continuous,1,0.05219937714745861,0.7295224082182876,4821,0.0005507216082556907,True,False,
HYG,credit,Volatility,VO-NATR-14,continuous,5,0.10661776646807024,0.43724092759824007,4817,9.888803572822967e-05,True,False,
HYG,credit,Volatility,VO-NATR-14,continuous,10,0.14234373118481533,0.30530934477118865,4812,0.00013926630197676852,True,False,
HYG,credit,Volatility,VO-NATR-14,continuous,20,0.18379565928688263,0.23307176169892913,4802,0.0002847049846659921,True,False,
