asset,asset_class,indicator,indicator_type,horizon,ic_or_spread,ic_ir,n_obs,p_value,survives_fdr,low_confidence,note
^HSI,equity,CCI_20,continuous,1,0.024256696647219474,-0.3293882267463971,9725,0.01617875127774365,True,False,
^HSI,equity,CCI_20,continuous,5,0.011391155283436963,-0.2670904760678186,9721,0.5235205131437279,False,False,
^HSI,equity,CCI_20,continuous,10,0.008910257934801146,-0.22800517485767055,9716,0.6972338261216073,False,False,
^HSI,equity,CCI_20,continuous,20,-0.012497023732944439,-0.24751659611333202,9706,0.6475202972062922,False,False,
^HSI,equity,CMO_14,continuous,1,0.023758622639000925,-0.6141802854270701,9730,0.02244707951363902,False,False,
^HSI,equity,CMO_14,continuous,5,0.01711360012667952,-0.4331798839403907,9726,0.35718761638977614,False,False,
^HSI,equity,CMO_14,continuous,10,0.017935068368710505,-0.3470084560749359,9721,0.462635797495632,False,False,
^HSI,equity,CMO_14,continuous,20,-0.005517138594106687,-0.33448944343311343,9711,0.8564035612273124,False,False,
^HSI,equity,DX_14,continuous,1,0.019704967843594573,-0.002911842827838807,9730,0.05638371598994545,False,False,
^HSI,equity,DX_14,continuous,5,0.02405396738996959,-0.02135030382474581,9726,0.171302564143757,False,False,
^HSI,equity,DX_14,continuous,10,0.032361715856022495,-0.0074125910298691745,9721,0.14432953205542723,False,False,
^HSI,equity,DX_14,continuous,20,0.02076652985338244,-0.017945755700507788,9711,0.4282760985078523,False,False,
^HSI,equity,MFI_14,continuous,1,-0.01541985280388049,-0.2587142570126872,9730,0.12579339829680486,False,False,
^HSI,equity,MFI_14,continuous,5,-0.04570922247129626,-0.14941297673330534,9726,0.01428346451266573,True,False,
^HSI,equity,MFI_14,continuous,10,-0.05932698963767693,-0.11532921386115107,9721,0.020551767638549594,False,False,
^HSI,equity,MFI_14,continuous,20,-0.07253583745632478,-0.09790971648340469,9711,0.03495319410330105,False,False,
^HSI,equity,MOM_10,continuous,1,0.004510650064543847,-0.3809129391023053,9734,0.6716420621877066,False,False,
^HSI,equity,MOM_10,continuous,5,-0.0029702847846090224,-0.26665972535476157,9730,0.8708746044073934,False,False,
^HSI,equity,MOM_10,continuous,10,0.0064599117675525,-0.21406279082097399,9725,0.7734254737207091,False,False,
^HSI,equity,MOM_10,continuous,20,-0.01732609469568823,-0.2464890966390383,9715,0.5032535691443607,False,False,
^HSI,equity,NATR_14,continuous,1,-0.017499532560369863,0.4534529674164234,9730,0.10154292376944322,False,False,
^HSI,equity,NATR_14,continuous,5,-0.029099812465257675,0.2299049540629779,9726,0.1398625399085408,False,False,
^HSI,equity,NATR_14,continuous,10,-0.05085295549640926,0.15163459023087633,9721,0.05877439910324725,False,False,
^HSI,equity,NATR_14,continuous,20,-0.05816941654460366,0.11774602838716575,9711,0.12013393972764724,False,False,
^HSI,equity,OBV,continuous,1,-0.023607694723504873,-0.5365752134352961,9744,0.021419473292708654,False,False,
^HSI,equity,OBV,continuous,5,-0.05392993039675776,-0.28882592060743384,9740,0.004895228871238504,True,False,
^HSI,equity,OBV,continuous,10,-0.07470840641113113,-0.20264100771658003,9735,0.004409329893762674,True,False,
^HSI,equity,OBV,continuous,20,-0.11041980178914321,-0.13861386680898313,9725,0.0022598055053583855,True,False,
^HSI,equity,PPO_12_26,continuous,1,0.009074323550987523,-0.5415566705382069,9719,0.4103733292425942,False,False,
^HSI,equity,PPO_12_26,continuous,5,0.0002293940519897613,-0.3085908708406945,9715,0.9908100568433316,False,False,
^HSI,equity,PPO_12_26,continuous,10,-0.012071503609578397,-0.25011686865084365,9710,0.646120743974596,False,False,
^HSI,equity,PPO_12_26,continuous,20,-0.028350844691459303,-0.22187174629647297,9700,0.39188911365734624,False,False,
^HSI,equity,ROC_10,continuous,1,0.015800981690377053,-0.3761682080877358,9734,0.1438220606469619,False,False,
^HSI,equity,ROC_10,continuous,5,0.010475110998739094,-0.2618631825415697,9730,0.5758638357583212,False,False,
^HSI,equity,ROC_10,continuous,10,0.018099027527663625,-0.2095893135426004,9725,0.43758709212680535,False,False,
^HSI,equity,ROC_10,continuous,20,-0.011184985447857215,-0.24284551024984238,9715,0.6797120879798787,False,False,
^HSI,equity,RSI_14,continuous,1,0.023758615471308846,-0.6141618968866497,9730,0.022447111237908636,False,False,
^HSI,equity,RSI_14,continuous,5,0.01711358071241011,-0.43319194127662675,9726,0.35718814813591293,False,False,
^HSI,equity,RSI_14,continuous,10,0.017935058036039637,-0.3470150531025773,9721,0.462636021711764,False,False,
^HSI,equity,RSI_14,continuous,20,-0.005517154180884778,-0.33449060355025584,9711,0.8564031638642067,False,False,
^HSI,equity,STOCHF_K_14,continuous,1,0.03061406685128919,-0.21973583748415867,9729,0.0021993746030512813,True,False,
^HSI,equity,STOCHF_K_14,continuous,5,0.020603004771222032,-0.23490525072746973,9725,0.23019324339624037,False,False,
^HSI,equity,STOCHF_K_14,continuous,10,0.02222960831242972,-0.19427136440479023,9720,0.30581895469400966,False,False,
^HSI,equity,STOCHF_K_14,continuous,20,-0.0014177353879178576,-0.224520998165366,9710,0.9558335055609347,False,False,
^HSI,equity,STOCH_K_14,continuous,1,0.014519178799347754,-0.40438686838935173,9727,0.15275655845824973,False,False,
^HSI,equity,STOCH_K_14,continuous,5,0.009861627877675475,-0.25348336214655925,9723,0.583892385457744,False,False,
^HSI,equity,STOCH_K_14,continuous,10,0.014558253650600176,-0.20193662484314284,9718,0.5244794200271864,False,False,
^HSI,equity,STOCH_K_14,continuous,20,-0.00992966048370092,-0.22703544618172275,9708,0.7152865748913374,False,False,
^HSI,equity,ULTOSC,continuous,1,0.016156268000398367,-0.34170418701606403,9716,0.11066799536727463,False,False,
^HSI,equity,ULTOSC,continuous,5,0.00997179292253056,-0.24521298456468316,9712,0.5683081357519016,False,False,
