asset,asset_class,indicator,slot,horizon,ic,ic_ir,n_obs,p_value,note,survives_fdr,cutoff
^GSPC,equity,MO-slope,momentum,20,-0.0013725001139658,-0.1923636569699745,24094,0.8204997977519044,,False,2023-12-31
^GSPC,equity,MO-smi,momentum,1,0.0033600152732478,-0.7642443106294508,24090,0.6111443992023599,,False,2023-12-31
^GSPC,equity,MO-smi,momentum,5,-0.0071058584745465,-0.4556275738091709,24086,0.539660419584825,,False,2023-12-31
^GSPC,equity,MO-smi,momentum,10,-0.0077751865409001,-0.3468452080220573,24081,0.6106364387135857,,False,2023-12-31
^GSPC,equity,MO-smi,momentum,20,-0.0210661146323434,-0.3015097371297203,24071,0.2875828435558152,,False,2023-12-31
^GSPC,equity,MO-squeeze,momentum,1,-0.0068335368863084,-0.5398686450039892,24097,0.3069748917063293,,False,2023-12-31
^GSPC,equity,MO-squeeze,momentum,5,-0.0140168604071894,-0.2893568192330984,24093,0.2213087721673606,,False,2023-12-31
^GSPC,equity,MO-squeeze,momentum,10,-0.0105595240994615,-0.2255526449933388,24088,0.4661963532929837,,False,2023-12-31
^GSPC,equity,MO-squeeze,momentum,20,-0.0287341841693183,-0.2235625875080713,24078,0.1063522689071609,,False,2023-12-31
^GSPC,equity,MO-stc,momentum,1,-0.0017127211594729,-0.4469832016315607,24089,0.7941761987148517,,False,2023-12-31
^GSPC,equity,MO-stc,momentum,5,-0.0324059020415288,-0.277948426236153,24085,0.0060140149467434,,False,2023-12-31
^GSPC,equity,MO-stc,momentum,10,-0.0512314768758781,-0.2037172779406081,24080,0.001171462677722,,True,2023-12-31
^GSPC,equity,MO-stc,momentum,20,-0.0480391629258444,-0.1654596105941415,24070,0.0181352012092826,,False,2023-12-31
^GSPC,equity,MO-stoch,momentum,1,-0.0036034527965251,-0.4884565604445816,24097,0.5841643054669685,,False,2023-12-31
^GSPC,equity,MO-stoch,momentum,5,-0.0097780976283798,-0.2820623949624136,24093,0.3985622060437472,,False,2023-12-31
^GSPC,equity,MO-stoch,momentum,10,0.0040867175598033,-0.2085301046725924,24088,0.7815296119952867,,False,2023-12-31
^GSPC,equity,MO-stoch,momentum,20,-0.005757013857266,-0.2215280701038212,24078,0.7475431533088354,,False,2023-12-31
^GSPC,equity,MO-stochf,momentum,1,0.0118627952320379,-0.257676715520588,24099,0.0691925184874637,,False,2023-12-31
^GSPC,equity,MO-stochf,momentum,5,-0.0003975726983197,-0.2518637474101775,24095,0.971511412854004,,False,2023-12-31
^GSPC,equity,MO-stochf,momentum,10,0.006550825346739,-0.2042292717518347,24090,0.6425713742123866,,False,2023-12-31
^GSPC,equity,MO-stochf,momentum,20,-0.0012012823400856,-0.2230897401619283,24080,0.9433499330754628,,False,2023-12-31
^GSPC,equity,MO-stochrsi,momentum,1,-0.0046882077871308,-0.2481459537558684,24085,0.4675188668808654,,False,2023-12-31
^GSPC,equity,MO-stochrsi,momentum,5,-0.0063776671028523,-0.127708884613239,24081,0.5684713028222024,,False,2023-12-31
^GSPC,equity,MO-stochrsi,momentum,10,0.0117514572805923,-0.0777333370122898,24076,0.3946238921560278,,False,2023-12-31
^GSPC,equity,MO-stochrsi,momentum,20,-0.0010194502850674,-0.1016754838808041,24066,0.9470093080535804,,False,2023-12-31
