asset,asset_class,cutoff,volume_ind,trend_ind,momentum_ind,volatility_ind,n_slots,horizon,comp_ic,comp_p,comp_ic_ir,redundancy,traded_sign,is_winner,fdr_fallback_slots
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-crsi,VO-ATR_RATIO,4,10,0.0526388333083415,0.1516457206853962,0.4893931093264666,0.2297418793198346,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-crsi,VO-ATR_RATIO,4,20,0.0395255639771306,0.4028799041043568,0.4028161242171869,0.2297418793198346,1.0,True,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-crsi,VO-natr,4,1,0.0346683882224764,0.0283207027510764,0.9764100225771564,0.2297418793198346,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-crsi,VO-natr,4,5,0.0493593026905322,0.0712742112790854,0.627953512221718,0.2297418793198346,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-crsi,VO-natr,4,10,0.0526388333083415,0.1516457206853962,0.4893931093264666,0.2297418793198346,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-crsi,VO-natr,4,20,0.0395255639771306,0.4028799041043568,0.4028161242171869,0.2297418793198346,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-slope,VO-ATR_RATIO,4,1,0.0340042454692675,0.0308501681624798,0.9664904537583272,0.209590111797086,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-slope,VO-ATR_RATIO,4,5,0.0516084617045503,0.0585184696472953,0.6221393364762711,0.209590111797086,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-slope,VO-ATR_RATIO,4,10,0.0555828769153589,0.1304113675625533,0.4997927689316299,0.209590111797086,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-slope,VO-ATR_RATIO,4,20,0.0397820029709543,0.4046780444289212,0.4019049317060327,0.209590111797086,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-slope,VO-natr,4,1,0.0340042454692675,0.0308501681624798,0.9664904537583272,0.209590111797086,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-slope,VO-natr,4,5,0.0516084617045503,0.0585184696472953,0.6221393364762711,0.209590111797086,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-slope,VO-natr,4,10,0.0555828769153589,0.1304113675625533,0.4997927689316299,0.209590111797086,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-slope,VO-natr,4,20,0.0397820029709543,0.4046780444289212,0.4019049317060327,0.209590111797086,1.0,False,volume
VWO,equity,2023-12-31,VU-efi,TR-dpo,MO-uo,VO-rvi,4,1,0.0407580372034113,0.0060379108347908,0.1649927282603367,0.6640856387962609,1.0,False,trend
VWO,equity,2023-12-31,VU-efi,TR-dpo,MO-uo,VO-rvi,4,5,0.0618071763863808,0.0163161325337969,0.0805063549519412,0.6640856387962609,1.0,False,trend
VWO,equity,2023-12-31,VU-efi,TR-dpo,MO-uo,VO-rvi,4,10,0.058654864723424,0.0710220837474364,0.0358481626354236,0.6640856387962609,1.0,False,trend
